FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,GA,,$0,,GA1270090,,341 PLAZA SHOPPING CENTER X,,04,,N,0,0,,,,,,____________U,,31.212747,County Centroid,0,,,110053910381,,30000,GLYNN,-81.496517
,,,Y,GA,,$0,,GA2890026,,"50-50 FOODS, INC.",,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,32.665847,County Centroid,1,,2,110054004331,,30000,TWIGGS,-83.425879
,,,Y,GA,,$0,,GA2610011,,A B C MOBILE HOME PARK,31709,04,,Y,0,1,,AMERICUS,,,13177,VVVVVVVVVVVVU,,32.055574,Zip Code Centroid,1,LEE COUNTY,2,110013129480,LESLIE HWY,10000,SUMTER,-84.202276
13039,,,Y,GA,03070203,$0,,GA0390054,,A BIG WHEEL RV PARK,31558,04,31558,Y,0,1,ENTRANCE POINT OF A FACILITY OR STATION,ST MARYS,,,13039,VVVVVVVVVVVVU,030702030402,30.838173,ADDRESS MATCHING-HOUSE NUMBER,1,CAMDEN COUNTY,3,110054005018,6031 CHARLIE SMITH SR HWY,50,CAMDEN,-81.56274
,,,Y,GA,,$0,,GA1830006,,AARON MOBILE HOME PARK,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,31.749563,County Centroid,1,,7,110013137435,,30000,LONG,-81.74287
,,,Y,GA,,$0,,GA3150000,,ABBEVILLE,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,31.962717,County Centroid,1,,3,110013122487,,30000,WILCOX,-83.438262
13277,,,Y,GA,03110204,$0,,GA2770004,,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,31793,04,31793,Y,0,1,CENTER OF A FACILITY OR STATION,TIFTON,,,13277,VVVVVVVVVVVVU,031102030201,31.47547,ADDRESS MATCHING-HOUSE NUMBER,1,TIFT COUNTY,16,110013125082,2802 MOORE HWY,30,TIFT,-83.52372
,,,Y,GA,,$0,,GA1850009,,ACADEMY ACRES SUBDIVISION,,04,,N,0,1,,VALDOSTA,,,,__V_________U,,30.850126,Place Name Centroid,0,,,110013137998,,20000,LOWNDES,-83.278833
,,,Y,GA,,$0,,GA2290034,,ACE POLE COMPANY,,04,,N,0,0,,,,,,____________U,,31.353988,County Centroid,0,,,110053896888,,30000,PIERCE,-82.210427
13145,,,Y,GA,03130002,$0,,GA1450036,,ACRES OF SHADE MHP,31804,04,31804,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,CATAULA,,,13145,,031300021305,32.651651,INTERPOLATION-MAP,0,HARRIS COUNTY,,110043482460,300 ACRES SHADE DR,1,HARRIS,-84.888441
,,,Y,GA,,$0,,GA0150000,,ADAIRSVILLE,,04,,N,0,0,,ADAIRSVILLE,,,,____________U,,34.370226,Place Name Centroid,0,,1,110013161014,,20000,BARTOW,-84.921453
,,,Y,GA,,$0,,GA0750000,,ADEL,,04,,N,0,1,,ADEL,,,,__V_________U,,31.131571,Place Name Centroid,0,,,110013152079,,20000,COOK,-83.425405
,,,Y,GA,,$0,,GA1070000,,ADRIAN,,04,,Y,0,1,,ADRIAN,,,,VVVVVVVVVVVVU,,32.529951,Place Name Centroid,1,,2,110013148129,,20000,EMANUEL,-82.591509
13261,,,Y,GA,03130007,$0,,GA2610000,,AGRIUM US INC,31709,04,31709,N,0,0,CENTER OF A FACILITY OR STATION,AMERICUS,,,13261,____________U,031300070801,32.05546,ADDRESS MATCHING-HOUSE NUMBER,0,SUMTER COUNTY,1,110000361055,1611 OAK AVE.,99999999,SUMTER,-84.23557
,,,Y,GA,,$0,,GA2090000,,AILEY,,04,,Y,0,1,,AILEY,,,,VVVVV_____VVU,,32.188356,Place Name Centroid,1,,,110013134731,,20000,MONTGOMERY,-82.57558
,,,Y,GA,,$0,,GA0690002,,AIRPORT,31533,04,,N,0,0,,DOUGLAS,,,13069,____________U,,31.54846,Zip Code Centroid,0,COFFEE COUNTY,,110013539545,US HWY 441 S OF AIRPORT RD,10000,COFFEE,-82.898295
,,,Y,GA,,$0,,GA0510255,,AIRPORT OFFICES & INDUST. PARK,,04,,N,0,0,,,,,,____________U,,31.974756,County Centroid,0,,,110053858214,,30000,CHATHAM,-81.091768
13159,,,Y,GA,03070103,$0,,GA1590004,,AL COLBY SHORES WATER AUTHORITY,31064,04,31064,N,0,0,CENTER OF A FACILITY OR STATION,MONTICELLO,,,13159,____________U,030701030804,33.38686,ADDRESS MATCHING-HOUSE NUMBER,0,JASPER COUNTY,1,110013141938,484 BLUE HERON DR,30,JASPER,-83.82122
,,,Y,GA,,$0,,GA3090000,,ALAMO,,04,,Y,0,1,,ALAMO,,,,_________VVVU,,32.147606,Place Name Centroid,1,,,110013121807,,20000,WHEELER,-82.779772
,,,Y,GA,,$0,,GA0190000,,ALAPAHA,,04,,N,0,1,,ALAPAHA,,,,VVVVVV______U,,31.383134,Place Name Centroid,0,,2,110013159526,,20000,BERRIEN,-83.223703
,,,Y,GA,,$0,,GA0950000,,ALBANY,,04,,N,0,1,,ALBANY,,,,VVVV________U,,31.577669,Place Name Centroid,0,,2,110013148913,,20000,DOUGHERTY,-84.179453
,,,Y,GA,,$0,,GA2170034,,ALCOVY MOBILE HOME PARK,30019,04,,N,0,1,,DACULA,,,13135,VVVV________U,,33.976858,Zip Code Centroid,0,GWINNETT COUNTY,2,110013222413,1395 U.S. HIGHWAY 29,10000,GWINNETT,-83.886265
,,,Y,GA,,$0,,GA0310270,,ALEXANDER FARMS SUBDIVISION,,04,,Y,0,1,,,,,,_______VV_VVU,,32.393408,County Centroid,1,,4,110053895068,,30000,BULLOCH,-81.74381
,,,Y,GA,,$0,,GA2370088,,ALEXANDER LAKES SUBDIVISION,,04,,N,0,0,,,,,,____________U,,33.321061,County Centroid,0,,,110053903558,,30000,PUTNAM,-83.37179
,,,Y,GA,,$0,,GA0330051,,ALLEN & AVNER RV PARK,,04,,N,0,0,,,,,,____________U,,33.063737,County Centroid,0,,,110053826749,,30000,BURKE,-82.00389
,,,Y,GA,,$0,,GA3190000,,ALLENTOWN,,04,,N,0,0,,,,,,____________U,,32.804321,County Centroid,0,,,110013220362,,30000,WILKINSON,-83.175587
,,,Y,GA,,$0,,GA0050000,,ALMA,,04,,N,0,1,,ALMA,,,,VVVVVVV_____U,,31.543304,Place Name Centroid,0,,,110013160630,,20000,BACON,-82.475621
,,,Y,GA,,$0,,GA0510271,,ALPHA & OMEGA MINISTRIES,,04,,Y,0,1,,,,,,__________VVU,,31.974756,County Centroid,1,,,110053902069,,30000,CHATHAM,-81.091768
,,,Y,GA,,$0,,GA3110075,,ALPINE TERRACE/PRIMROSE SUBDIVISION,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,34.643677,County Centroid,1,,3,110016616429,,30000,WHITE,-83.743713
,,,Y,GA,,$0,,GA3110032,,ALPINE VALLEY  COMPLEX,,04,,Y,0,1,,,,,,VVSVVVVVVVVVU,,34.643677,County Centroid,1,,15,110053827481,,30000,WHITE,-83.743713
,,,Y,GA,,$0,,GA2090001,,ALSTON,,04,,N,0,0,,ALSTON,,,,____________U,,32.086595,Place Name Centroid,0,,,110013134740,,20000,MONTGOMERY,-82.480213
,,,Y,GA,,$0,,GA3050086,,ALTAMAHA ACRES,,04,,N,0,0,,,,,,____________U,,31.547845,County Centroid,0,,1,110016812083,,30000,WAYNE,-81.912376
13001,,,Y,GA,03070106,$0,,GA0010002,,ALTAMAHA ELEMENTARY SCHOOL,31513,04,31513,N,0,0,ENTRANCE POINT OF A FACILITY OR STATION,BAXLEY,,,13001,____________U,030701060106,31.875034,ADDRESS MATCHING-HOUSE NUMBER,0,APPLING COUNTY,,110025744602,344 ALTAMAHA SCHOOL ROAD,50,APPLING,-82.360123
,,,Y,GA,,$0,,GA1270141,,ALTAMAHA MOBILE HOME VILLAGE,31520,04,,N,0,0,,BRUNSWICK,,,13127,____________U,,31.172005,Zip Code Centroid,0,GLYNN COUNTY,,110013145747,5067 BLYTHE ISLAND HWY,10000,GLYNN,-81.491534
,,,Y,GA,,$0,,GA1270078,,ALTAMAHA PARK,,04,,N,0,0,,,,,,____________U,,31.212747,County Centroid,0,,,110053866349,,30000,GLYNN,-81.496517
,1,,Y,GA,,$0,,GA1370000,,ALTO,,04,,Y,1,1,,ALTO,,,,SVVVVVVVVVVVU,,34.464994,Place Name Centroid,1,,23,110013144613,,20000,HABERSHAM,-83.572586
,,,Y,GA,,$0,,GA0310208,,AMBERWOOD S/D,,04,,N,0,0,,,,,,____________U,,32.393408,County Centroid,0,,,110053936755,,30000,BULLOCH,-81.74381
,,,Y,GA,,$0,,GA0690000,,AMBROSE,,04,,Y,0,1,,AMBROSE,,,,VVVVVVVVVVVVU,,31.595145,Place Name Centroid,1,,4,110013152970,,20000,COFFEE,-83.014895
,,,Y,GA,,$0,,GA0290072,,ANDERSON S/D,,04,,N,0,0,,,,,,____________U,,32.017969,County Centroid,0,,1,110053962663,,30000,BRYAN,-81.438543
,,,Y,GA,,$0,,GA2610001,,ANDERSONVILLE,,04,,N,0,1,,ANDERSONVILLE,,,,VVV_________U,,32.193855,Place Name Centroid,0,,10,110013129426,,20000,SUMTER,-84.146262
13015,,,Y,GA,03150104,$0,,GA2110011,,APPALACHEE WOODS SUBDIVISION,30102,04,30102,N,0,0,CENTER OF A FACILITY OR STATION,ACWORTH,,,13015,____________U,031501040903,34.08652,ADDRESS MATCHING-HOUSE NUMBER,0,BARTOW COUNTY,3,110013132671,103 AZTEC WAY,30,COBB,-84.67561
,,,Y,GA,,$0,,GA1950045,,APPLE ACRES-KINGSTON-GATEWOOD,,04,,N,0,1,,,,,,VVV_________U,,34.128486,County Centroid,0,,2,110013133938,,30000,MADISON,-83.203637
,,,Y,GA,,$0,,GA0110031,,APPLE PIE RIDGE SUBDIVISION,,04,,N,0,0,,,,,,____________U,,34.351922,County Centroid,0,,,GA0110031,,30000,Banks,-83.498441
,1,,Y,GA,,$0,1,GA1390100,,AQUALAND MARINA CHATT. PARK,,04,,Y,1,1,,,,,,VVVVVVVVVVVVU,,34.317588,County Centroid,1,,10,110054010734,,30000,HALL,-83.818497
,,,Y,GA,,$0,,GA0810000,,ARABI,,04,,N,0,0,,ARABI,,,,____________U,,31.826124,Place Name Centroid,0,,,110013150419,,20000,CRISP,-83.728002
13157,,,Y,GA,03070101,$0,,GA1570014,,ARCADE MOBILE HOME PARK,,04,30549,N,0,1,ENTRANCE POINT OF A FACILITY OR STATION,,,,13157,VVVVVVVV____U,030701010301,34.065701,ADDRESS MATCHING-HOUSE NUMBER,0,JACKSON COUNTY,1,110013224910,,50,JACKSON,-83.559781
,,,Y,GA,,$0,,GA1790144,,ARCADIA SUBDIVISION,,04,,N,0,1,,,,,,__V_________U,,31.807245,County Centroid,0,,1,110053982124,,30000,LIBERTY,-81.457969
,,,Y,GA,,$0,,GA1070012,,ARCHER-LAKE LUCK,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,32.5911,County Centroid,1,,2,110013148325,,30000,EMANUEL,-82.299763
,,,Y,GA,,$0,,GA1070020,,ARCHER-RANCH PARK,,04,,N,0,1,,,,,,__V_________U,,32.5911,County Centroid,0,,2,110013148370,,30000,EMANUEL,-82.299763
,2,,Y,GA,,$0,,GA0650013,,ARGYLE,,04,,Y,2,1,,ARGYLE,,,,VVVVVVVVVVVVU,,31.073214,Place Name Centroid,1,,18,110013152685,,20000,CLINCH,-82.648875
,,,Y,GA,,$0,,GA0510249,,ARGYLE VILLAGE SUBDIVISION,,04,,N,0,1,,SAVANNAH,,,,__V_________U,,32.002512,Place Name Centroid,0,,1,110013154059,,20000,CHATHAM,-81.153557
,,,Y,GA,,$0,,GA0370000,,ARLINGTON,,04,,Y,0,1,,ARLINGTON,,,,VVVVVVVVVVVVU,,31.437921,Place Name Centroid,1,,5,110013156315,,20000,CALHOUN,-84.725431
,,,Y,GA,,$0,4,GA2610036,,ARLINGTON TERRACE MHP,,04,,Y,0,1,,AMERICUS,,,,VSSVVVVVVVVVU,,32.074104,Place Name Centroid,1,,27,110013129630,,20000,SUMTER,-84.223597
,,,Y,GA,,$0,,GA1330042,,ARMOR BRIDGE MARINA,,04,,N,0,0,,,,,,____________U,,33.576836,County Centroid,0,,,110053888940,,30000,GREENE,-83.167103
,,,Y,GA,,$0,,GA2210004,,ARNOLDSVILLE,,04,,N,0,0,,LEXINGTON,,,,____________U,,33.870069,Place Name Centroid,0,,,110013222627,,20000,OGLETHORPE,-83.110154
,,,Y,GA,,$0,,GA2210057,,ARROW WOOD SUBDIVISION,,04,,Y,0,1,,,,,,VVVVVVVVVVVVU,,33.866806,County Centroid,1,,5,110013131618,,30000,OGLETHORPE,-83.074081
