FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,SDWAInspections5yr,SDWAIDs,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacDerivedZip,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,FacFIPSCode,SDWA3yrComplQtrsHistory,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,8,,Y,NC,,$0,,NC0197555,,115 GAS AND GRILL,,04,,Y,8,1,,,,,,VV____VV___VV,,36.209303,County Centroid,1,,12,110051042251,,30000,WILKES,-81.165354
37047,6,,Y,NC,03040206,$0,,NC0424697,,1ST ST PAUL S BAPTIST CHURCH,28472,04,28472,Y,6,1,CENTER OF A FACILITY OR STATION,WHITEVILLE,,,37047,___VV___VVVVV,030402060203,34.35316,ADDRESS MATCHING-HOUSE NUMBER,1,COLUMBUS COUNTY,10,110018737991,76 CAMPGROUNG ROAD,30,COLUMBUS,-78.71108
37001,3,,Y,NC,03030002,$0,,NC0201204,,2000 PARK PLACE,27215,04,27215,N,3,1,CENTER OF A FACILITY OR STATION,BURLINGTON,,,37001,________VVVV,030300020306,35.97165,ADDRESS MATCHING-HOUSE NUMBER,0,ALAMANCE COUNTY,5,110018689123,3941 EULISS ROAD,30,ALAMANCE,-79.4996
,,,Y,NC,,$0,1,NC7065068,,24 FIT,,04,,N,0,0,,,,,,_____________,,34.177466,County Centroid,0,,,NC7065068,,30000,New Hanover,-77.871378
,,,Y,NC,,$0,,NC0150419,,"2MAC, LLC BUILDING",,04,,N,0,0,,,,,,_____________,,35.286463,County Centroid,0,,,110052748906,,30000,JACKSON,-83.130641
,13,,Y,NC,,$0,,NC0217420,,3 POINTS GROCERY & GRILL  NO 2,,04,,Y,13,1,,,,,,V___VVVVVVVVV,,36.393097,County Centroid,1,,24,110050800969,,30000,CASWELL,-79.332546
,1,,Y,NC,,$0,,NC3017002,,3 POINTS GROCERY AND GRILL,27217,04,,Y,1,1,,BURLINGTON,,,37001,________VVVVV,,36.26827,Zip Code Centroid,1,ALAMANCE COUNTY,2,110018740031,11126 HIGHWAY 62 SOUTH,10000,ALAMANCE,-79.351193
,,,Y,NC,,$0,,NC0234498 NC0285403,,311 TIRE AND AUTOMOTIVE,27052,04,,N,0,0,,WALNUT COVE,,,37169,_____________,,36.333806,Zip Code Centroid,0,STOKES COUNTY,,110018525862,7610 HIGHWAY 311 NORTH,10000,STOKES,-80.184421
,10,,Y,NC,,$0,2,NC0347102,,401 MOBILE HOME PARK,27546,04,,Y,10,1,,LILLINGTON,,,37085,VVVVVVVVVVVVV,,35.374255,Zip Code Centroid,1,HARNETT COUNTY,18,110012864766,RT4 BOX 97,10000,HARNETT,-78.918792
,3,,Y,NC,,$0,3,NC2080074,,7 ELEVEN ENOCHVILLE,,04,,N,3,1,,,,,,V_____VV_____,,35.639218,County Centroid,0,,6,110063331372,,30000,ROWAN,-80.525344
,2,,Y,NC,,$0,,NC7071044,,A B FOODMART,,04,,N,2,1,,,,,,_V____VV_____,,34.512581,County Centroid,0,,4,110050647564,,30000,PENDER,-77.888029
,,,Y,NC,,$0,,NC0392222,,A COUNTRY PLACE,,04,,N,0,0,,WAKE FOREST,,,,_____________,,35.988697,Place Name Centroid,0,,,110012856132,,20000,WAKE,-78.536658
,,,Y,NC,,$0,1,NC0136890,,ABBEY INN,,04,,N,0,0,,,,,,_____________,,35.293344,County Centroid,0,,,110052777081,,30000,GASTON,-81.177256
,2,,Y,NC,,$0,,NC0347482,,ABERDEEN TRAINING FACILITY,28310,04,,N,2,1,,FORT BRAGG,,,,_V_________VV,,35.144746,Zip Code Centroid,0,,5,110027396351,,10000,,-79.043765
37125,,,Y,NC,03040203,$0,2,NC0363020,,"ABERDEEN, TOWN OF",28315,04,28315,N,0,0,CENTER OF A FACILITY OR STATION,ABERDEEN,,,37125,_____________,030402030202,35.14283,ADDRESS MATCHING-HOUSE NUMBER,0,MOORE COUNTY,,110012863534,804 N SANDHILLS BLVD,30,MOORE,-79.42319
