FacDerivedStctyFIPS,SDWAFormalActionCount,FacDateLastPenalty,SDWISFlag,FacState,FacDerivedHuc,FacTotalPenalties,Score,SDWASystemTypes,SDWAInspections5yr,FacFIPSCode,FacLastPenaltyAmt,FacName,FacZip,FacEPARegion,FacMajorFlag,NC,FacFormalActionCount,ViolFlag,FacReferencePoint,FacCity,FacImpWaterFlg,FacPenaltyCount,SDWAIDs,SDWA3yrComplQtrsHistory,FacPercentMinority,FacDerivedWBD,FacLat,FacCollectionMethod,CurrVioFlag,FacStdCountyName,SDWAInformalCount,FacDerivedZip,RegistryID,FacStreet,FacAccuracyMeters,FacCounty,FacLong
,,,Y,SC,,$0,1,Transient non-community system,2,,,341 BAR & GRILL (SC2972002),,04,,N,0,0,,,,,SC2972002,_____________,,,34.338356,County Centroid,0,,,,SC2972002,,30000,Kershaw,-80.590885
,,,Y,SC,,$0,1,Transient non-community system,,,,701 QUICK STOP (2670924),,04,,N,0,0,,,,,SC2670924,_____________,,,33.909269,County Centroid,0,,,,110052707647,,30000,HORRY,-78.976675
,,,Y,SC,,$0,1,Community water system,,45079,,AAA   LANDS POINT S D,29002,04,,N,0,0,,BALLENTINE,,,SC4050004,_____________,,,34.1241,Zip Code Centroid,0,RICHLAND COUNTY,,,110002314585,ACROSS FR 1955 MARINA RD,10000,RICHLAND,-81.2375
,,,Y,SC,,$0,1,Community water system,,45079,,AAA - HILTON SOUND,29063,04,,N,0,0,,BALLENTINE,,,SC3250024,V____________,,,34.144636,Zip Code Centroid,0,RICHLAND COUNTY,11,,110008571553,PUTMAN&HILTON PLACE RD,10000,LEXINGTON,-81.204596
,2,,Y,SC,,$0,1,Community water system,,45063,,AAA - MURRAY HILL EST,29054,04,,N,2,0,,GILBERT,,,SC3250014,V____________,,,33.943602,Zip Code Centroid,0,LEXINGTON COUNTY,11,,110008571606,CORNER OAK&HORSE CREEK,10000,LEXINGTON,-81.378165
,,,Y,SC,,$0,1,Community water system,,45063,,AAA - PERRY WATER SYS,29169,04,,Y,0,1,,WEST COLUMBIA,,,SC4150007,_____VVVVVVVV,,,33.990884,Zip Code Centroid,1,LEXINGTON COUNTY,7,,110008569502,ED SWEARINGEN,10000,LEXINGTON,-81.083711
,,,Y,SC,,$0,1,Community water system,,45063,,AAA - SHEALY ESTATES,29073,04,,N,0,0,,LEXINGTON,,,SC3250102,_____________,,,33.895525,Zip Code Centroid,0,LEXINGTON COUNTY,,,110017015415,BOILING SPRINGS LN,10000,LEXINGTON,-81.269559
45063,,,Y,SC,03050203,$0,1,Community water system,,45063,,AAA CHASEHUNT FARMS,29073,04,,Y,0,1,CENTER OF A FACILITY OR STATION,LEXINGTON,,,SC3250104,_________VVVV,18.883,030502030201,33.8102,ADDRESS MATCHING-HOUSE NUMBER,1,LEXINGTON COUNTY,2,29073,110016957952,3071 HWY 6,30,LEXINGTON,-81.19052
,,,Y,SC,,$0,1,Community water system,,,,AAA LAKESIDE FOREST 2 (3250030),,04,,N,0,0,,,,,SC3250030,_____________,,,33.892554,County Centroid,0,,,,110048196493,,30000,LEXINGTON,-81.272853
,,,Y,SC,,$0,1,Community water system,,,,AAA RIDGE POINT S/D (3250105),,04,,N,0,0,,,,,SC3250105,_____________,,,33.892554,County Centroid,0,,,,110048670407,,30000,LEXINGTON,-81.272853
,2,,Y,SC,,$0,1,Community water system,,45001,,ABBEVILLE CITY OF,29620,04,,N,2,1,,ABBEVILLE,,,SC0110001,_VVVV________,,,34.184135,Zip Code Centroid,0,ABBEVILLE COUNTY,7,,110008548848,VIENNA ST,10000,ABBEVILLE,-82.361255
,,,Y,SC,,$0,1,Non-Transient non-community system,,,,ADAMS RUN CIVIC CENTER (1070148),,04,,N,0,0,,,,,SC1070148,_____________,,,32.800458,County Centroid,0,,,,110051902964,,30000,CHARLESTON,-79.94248
,,,Y,SC,,$0,1,Community water system,,45091,,ADNAH HILLS MHP,29732,04,,N,0,0,,ROCK HILL,,,SC4660115,_____________,,,34.970909,Zip Code Centroid,0,YORK COUNTY,,,110008556339,BLUE RIBBON WATER,10000,YORK,-81.065656
,,,Y,SC,,$0,1,Non-Transient non-community system,,,,AHLSTROM NONWOVENS (2830003),,04,,N,0,0,,,,,SC2830003,_____________,,,34.338356,County Centroid,0,,,,110052714531,,30000,KERSHAW,-80.590885
,,,Y,SC,,$0,1,Community water system,,45003,,AIKEN CITY OF VALE SERVICE CENTER,29802,04,,N,0,0,,AIKEN,,,SC0250009,_____________,,,33.565891,Zip Code Centroid,0,AIKEN COUNTY,2,,110017016824,PO BOX 1177,10000,AIKEN,-81.720594
,,,Y,SC,,$0,1,Community water system,,45005,,ALLENDALE IND PK,29810,04,,N,0,0,,ALLENDALE,,,SC0320002,_____________,,,33.006347,Zip Code Centroid,0,ALLENDALE COUNTY,2,,110016987974,PO BOX 677,10000,ALLENDALE,-81.321745
