EPARegion,SNC,SDWDateLastFeaEPA,SDWDateLastFea,SignificantDeficiencyCount,DfrUrl,PrimarySourceDesc,SDWAContaminants,SDWDateLastVisit,PWSTypeCode,CountiesServed,SDWDateLastIeaEPA,SiteVisits5yrInspections,Ifea,StateCode,SDWDateLastIeaSt,GwSwCode,IndianCountry,ZipCodesServed,LeadAndCopperViol,FIPSCodes,SDWDateLastVisitEPA,Viopaccr,Vioremain,MaxScore,QtrsWithVio,VioFlag,RulesVio,PWSTypeDesc,SDWDateLastVisitLocal,Viortcfea,CitiesServed,Sansurvey5yr,PbViol,Viofeanot,CuAle,PopulationServedCount,Rc350Viol,MrFlag,SDWAContaminantsInViol3yr,OwnerDesc,PbAle,SDWDateLastFeaSt,OwnerTypeCode,PWSId,PWSActivityDesc,HealthFlag,PWSName,SeriousViolator,SiteVisits5yrAll,SDWA3yrComplQtrsHistory,PrimarySourceCode,TRIbalFlag,RulesVio3yr,QtrsWithSNC,PWSActivityCode,FeaFlag,CurrVioFlag,Viortcnofea,CuViol,OtherFlag,IeaFlag,NewVioFlg,SNCFlag,SDWAContaminantsInCurViol,SDWDateLastIea,Insp5yrFlag,PnFlag,Feas,SDWDateLastVisitState,SiteVisits5yrOther
10,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4195372,Ground water,1040=Nitrate,06/16/2014,TNCWS,Yamhill,,,,OR,01/24/2011,GW,N,,,41071,,0,0,1,0,0,0,Transient non-community system,06/16/2014,,,1,,,,30,,No,,Private,,,P,OR4195372,Active,No,5 ROCK RANCH,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,01/24/2011,1,No,,,1
10,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4191555,Ground water,1040=Nitrate; 3100=Coliform (TCR); 7500=Public Notice; 8000=Revised Total Coliform Rule,08/10/2016,TNCWS,Jackson,,,1,OR,12/18/2014,GW,N,,,41029,,28,5,1,9,1,2,Transient non-community system,08/10/2016,,,1,,,,30,,Yes,1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,,P,OR4191555,Active,No,62 BURGERS AND BREW,No,1,__VVV_VVVVVVU,GW,0,2,0,A,0,1,23,,No,1,No,0,1040=Nitrate; 8000=Revised Total Coliform Rule,12/18/2014,1,No,,,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4101184,Ground water,,02/12/2018,CWS,Marion,,,,OR,09/30/1989,GW,N,,,41047,,0,0,1,0,0,0,Community water system,02/12/2018,,,1,,,,50,,No,,Private,,,P,OR4101184,Active,No,62ND COURT MUTUAL WATER CO,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,09/30/1989,1,No,,,1
10,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4195298,Ground water,,11/15/2017,TNCWS,Josephine,,,,OR,,GW,N,,,41033,,0,0,1,0,0,0,Transient non-community system,11/15/2017,,,1,,,,50,,No,,Private,,,P,OR4195298,Active,No,A 1 MARKET #5,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,,1,No,,,1
10,Serious Violator,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4195342,Ground water,"1040=Nitrate; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2955=Xylenes, Total; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3028=COLIPHAGE; 3100=Coliform (TCR); 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228); 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule",02/12/2018,CWS,Jackson,,,,OR,02/04/2013,GW,N,,,41029,,32,17,1,12,1,7,Community water system,02/12/2018,,,1,,,,28,,Yes,"1040=Nitrate; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2955=Xylenes, Total; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3028=COLIPHAGE; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228); 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule",Private,,,P,OR4195342,Active,No,A RIVER RUNS THROUGH,Yes,1,VVVVVVVVVVVSU,GW,0,7,1,A,0,1,15,,No,0,No,1,"1040=Nitrate; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2955=Xylenes, Total; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228); 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule",02/04/2013,1,No,,,1
10,No Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4194825,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,12/08/2017,TNCWS,Baker,,,1,OR,08/18/2015,GW,N,,,41001,,15,0,1,8,1,2,Transient non-community system,12/08/2017,,,1,,,,25,,No,1040=Nitrate; 8000=Revised Total Coliform Rule,Private,,,P,OR4194825,Active,No,A-FRAME RV PARK,No,1,____VVVVVVVVU,GW,0,2,0,A,0,0,15,,No,1,No,0,8000=Revised Total Coliform Rule,08/18/2015,1,No,,,1
10,No Violation,,05/04/1998,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4191799,Ground water,,02/26/2015,NTNCWS,Lane,,,,OR,03/27/2012,GW,N,,,41039,,0,0,1,0,0,0,Non-Transient non-community system,02/26/2015,,,1,,,,100,,No,,Local government,,05/04/1998,L,OR4191799,Active,No,A1 KENNEDY ALTERNATIVE 45J3,No,1,____________U,GW,0,0,0,A,0,0,,,No,0,No,0,,03/27/2012,1,No,,10/03/2001,1
10,In Violation,,,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4194876,Ground water,1040=Nitrate; 3100=Coliform (TCR); 8000=Revised Total Coliform Rule,10/11/2018,NTNCWS,Marion,,,,OR,02/04/2013,GW,N,,,41047,,17,7,1,12,1,1,Non-Transient non-community system,10/11/2018,,,1,,,,35,,Yes,8000=Revised Total Coliform Rule,Private,,,P,OR4194876,Active,No,ABIQUA LEARNING CENTER,No,1,VVVVVVVVVVVVU,GW,0,2,0,A,0,1,10,,No,0,No,0,8000=Revised Total Coliform Rule,02/04/2013,1,No,,,1
10,In Violation,,04/10/1998,,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4193768,Ground water,"1040=Nitrate; 1094=Asbestos; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2955=Xylenes, Total; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 3100=Coliform (TCR); 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule",10/22/2015,NTNCWS,Marion,,,,OR,02/04/2013,GW,N,,,41047,,11,1,1,12,1,1,Non-Transient non-community system,10/22/2015,,,1,,,1,160,,Yes,"1040=Nitrate; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2378=1,2,4-Trichlorobenzene; 2380=cis-1,2-Dichloroethylene; 2383=Total Polychlorinated Biphenyls (PCB); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2955=Xylenes, Total; 2959=Chlordane; 2964=DICHLOROMETHANE; 2968=o-Dichlorobenzene; 2969=p-Dichlorobenzene; 2976=Vinyl chloride; 2977=1,1-Dichloroethylene; 2979=trans-1,2-Dichloroethylene; 2980=1,2-Dichloroethane; 2981=1,1,1-Trichloroethane; 2982=Carbon tetrachloride; 2983=1,2-Dichloropropane; 2984=Trichloroethylene; 2985=1,1,2-Trichloroethane; 2987=Tetrachloroethylene; 2989=CHLOROBENZENE; 2990=Benzene; 2991=Toluene; 2992=Ethylbenzene; 2996=Styrene; 5000=Lead and Copper Rule; 8000=Revised Total Coliform Rule",Local government,,04/10/1998,L,OR4193768,Active,No,ABIQUA SCHOOL,No,1,VVVVVVVVVVVVU,GW,0,5,0,A,0,1,10,,No,0,No,0,5000=Lead and Copper Rule,02/04/2013,1,No,,,1
10,No Violation,,,1,https://echo.epa.gov/detailed-facility-report?sys=SDWIS&fid=OR4100003,Surface water,"0200=Surface Water Treatment Rule; 0300=Interim Enhanced Surfsce Water Treatment Rule; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2383=Total Polychlorinated Biphenyls (PCB); 2456=Total Haloacetic Acids (HAA5); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2950=TTHM; 2959=Chlordane; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228)",12/13/2017,CWS,Benton,,,,OR,11/04/1994,SW,N,,,41003,,35,0,1,8,1,0,Community water system,12/13/2017,,,2,,,,875,,No,"0200=Surface Water Treatment Rule; 0300=Interim Enhanced Surfsce Water Treatment Rule; 2005=Endrin; 2010=BHC-GAMMA; 2015=Methoxychlor; 2020=Toxaphene; 2031=Dalapon; 2032=Diquat; 2033=Endothall; 2034=Glyphosate; 2035=Di(2-ethylhexyl) adipate; 2036=OXAMYL; 2037=Simazine; 2039=Di(2-ethylhexyl) phthalate; 2040=Picloram; 2041=Dinoseb; 2042=Hexachlorocyclopentadiene; 2046=Carbofuran; 2050=Atrazine; 2051=LASSO; 2065=Heptachlor; 2067=Heptachlor epoxide; 2105=2,4-D; 2110=2,4,5-TP; 2274=HEXACHLOROBENZENE; 2306=Benzo(a)pyrene; 2326=Pentachlorophenol; 2383=Total Polychlorinated Biphenyls (PCB); 2456=Total Haloacetic Acids (HAA5); 2931=1,2-DIBROMO-3-CHLOROPROPANE; 2946=ETHYLENE DIBROMIDE; 2950=TTHM; 2959=Chlordane; 4000=Gross Alpha, Excl. Radon and U; 4006=Combined Uranium; 4010=Combined Radium (-226 and -228)",Local government,,,L,OR4100003,Active,No,ADAIR VILLAGE WATER SYSTEM,No,4,VVVVVVVV____U,SW,0,5,0,A,0,0,35,,No,0,No,0,,11/04/1994,1,No,,04/28/2005,4
